City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
108,punta arenas,-53.15,-70.9167,5.01,70,40,9.26,CL,1712609304
109,timimoun,29.2639,0.231,32.09,9,100,3.16,DZ,1712609305
110,roxas,11.5853,122.7511,26.19,87,100,3.69,PH,1712609305
111,aasiaat,68.7098,-52.8699,-6.72,84,97,1.67,GL,1712608858
112,igarka,67.4667,86.5833,-5.55,83,100,7.15,RU,1712609305
113,chibougamau,49.9168,-74.3659,8.79,23,0,2.06,CA,1712609239
114,yeed,4.55,43.0333,28.66,63,86,5.64,SO,1712609305
115,puerto baquerizo moreno,-0.9,-89.6,30.55,70,20,6.17,EC,1712609306
116,bayanhongor,46.7167,100.1167,-3.13,76,86,1.25,MN,1712609253
117,avarua,-21.2078,-159.775,26.03,89,75,5.14,CK,1712608836
118,albany,42.6001,-73.9662,17.79,30,100,0.89,US,1712608614
119,savanna-la-mar,18.219,-78.1332,29.97,75,99,1.48,JM,1712609131
120,egilsstadir,65.2653,-14.3948,0.95,93,100,6.17,IS,1712609306
121,tocache,-8.1842,-76.5125,28.21,74,100,0.71,PE,1712609307
122,bredasdorp,-34.5322,20.0403,15.67,93,100,6.8,ZA,1712608813
123,kirensk,57.7853,108.1119,-12.8,99,83,1.34,RU,1712609307
124,brookings,44.3114,-96.7984,6.21,93,100,6.69,US,1712609028
125,queenstown,-31.8976,26.8753,12.53,95,47,1.44,ZA,1712608822
126,dudinka,69.4058,86.1778,-7.4,96,100,5.81,RU,1712608814
127,buka,40.8108,69.1986,15.88,59,100,2.87,UZ,1712609308
128,n'zeto,-7.2312,12.8666,26.1,86,100,2.04,AO,1712609308
129,yellowknife,62.456,-114.3525,3.56,76,75,5.14,CA,1712609308
130,muroto-misakicho,33.2833,134.15,17.37,98,100,3.13,JP,1712609308
131,edinburgh of the seven seas,-37.0676,-12.3116,18.74,91,100,10.76,SH,1712609309
132,bandrele,-12.9067,45.1914,27.86,89,0,1.54,YT,1712609309
133,askoy,60.4092,5.226,8.16,87,75,8.23,NO,1712609309
134,koidu,8.4167,-10.8333,24.83,88,90,1.72,SL,1712609309
135,ain el bya,35.8039,-0.3018,18.16,63,100,8.09,DZ,1712609309
136,ingeniero jacobacci,-41.3427,-69.5448,16.61,10,0,12.14,AR,1712609309
137,neiafu,-18.65,-173.9833,27.38,89,75,5.14,TO,1712609310
138,coquimbo,-29.9533,-71.3436,15.85,82,100,4.12,CL,1712608678
139,ofunato,39.0717,141.7167,12.85,100,100,2.28,JP,1712609310
140,san sebastian de la gomera,28.0916,-17.1133,21.2,52,0,7.2,ES,1712609160
141,santo antonio do ica,-3.1022,-67.9397,26.3,93,100,1.2,BR,1712609310
142,talnakh,69.4865,88.3972,-7.66,96,100,3.23,RU,1712608808
143,vuktyl,63.8567,57.3094,-7.72,94,97,1.79,RU,1712609311
144,la ronge,55.1001,-105.2842,9.12,61,100,2.06,CA,1712609311
145,alesund,62.4723,6.1549,10.51,50,20,6.69,NO,1712609311
146,muzaffarpur,26.1167,85.4,23.21,47,11,3.57,IN,1712609311
147,torghay,49.6339,63.4981,8.0,79,100,5.48,KZ,1712609311
148,forster,-32.1667,152.5167,14.6,100,100,2.0,AU,1712609312
149,deqen,29.9618,90.7188,1.13,52,100,2.18,CN,1712609312
150,kuanda,56.3161,116.0806,-5.72,96,100,2.06,RU,1712609312
151,paris,48.8534,2.3488,17.1,73,0,6.17,FR,1712608635
152,nova sintra,14.8667,-24.7167,22.84,75,0,10.15,CV,1712609312
153,whitehorse,60.7161,-135.0538,3.94,44,75,6.71,CA,1712609312
154,cintalapa de figueroa,16.7333,-93.7167,36.06,25,0,4.96,MX,1712609313
155,ilulissat,69.2167,-51.1,-5.99,63,20,3.09,GL,1712609313
156,luderitz,-26.6481,15.1594,16.19,89,63,2.08,NA,1712609313
157,salacgriva,57.7536,24.3581,7.8,92,100,2.83,LV,1712609313
158,porbandar,21.6422,69.6093,25.59,70,0,3.17,IN,1712609313
159,port saint john's,-31.6229,29.5448,20.64,88,93,3.24,ZA,1712609314
160,lihue,21.9789,-159.3672,25.58,65,40,6.17,US,1712608830
161,tura,25.5198,90.2201,22.3,39,16,0.69,IN,1712609314
162,hadibu,12.65,54.0333,26.74,78,98,2.17,YE,1712608874
163,an nuhud,12.7,28.4333,25.36,12,39,5.22,SD,1712609314
164,qamdo,31.1667,97.2333,-0.33,63,96,3.1,CN,1712609314
165,faya-largeau,17.9257,19.1043,27.35,9,0,5.78,TD,1712609315
166,ushuaia,-54.8,-68.3,3.81,65,40,6.69,AR,1712609315
167,mar del plata,-38.0023,-57.5575,26.01,55,0,5.36,AR,1712608989
168,longyearbyen,78.2186,15.6401,-15.09,78,75,3.09,SJ,1712608840
169,holualoa,19.6228,-155.9522,24.2,77,75,3.6,US,1712608845
170,isafjordur,66.0755,-23.124,-3.66,90,96,9.18,IS,1712608825
171,souillac,-20.5167,57.5167,24.21,94,40,2.06,MU,1712609315
172,invercargill,-46.4,168.35,16.68,70,100,3.58,NZ,1712609277
173,paradip garh,20.3167,86.6167,26.54,48,74,3.56,IN,1712609316
174,alice springs,-23.7,133.8833,17.34,48,96,3.09,AU,1712609316
175,el porvenir,13.7617,-87.3458,34.63,18,53,3.92,HN,1712609316
176,hafar al-batin,28.4328,45.9708,25.32,38,85,8.23,SA,1712609316
177,brezina,33.0989,1.2608,23.27,14,19,2.89,DZ,1712609317
178,martinopolis,-22.1458,-51.1708,27.62,93,99,2.57,BR,1712609282
179,pindi bhattian,31.8978,73.273,21.81,18,28,2.38,PK,1712609317
180,uturoa,-16.7333,-151.4333,29.14,77,83,5.69,PF,1712609317
181,newman,37.3138,-121.0208,20.02,40,0,8.49,US,1712608835
182,hailin,44.5833,129.4167,-5.16,35,0,1.27,CN,1712609318
183,sambava,-14.2667,50.1667,25.11,89,27,4.61,MG,1712609031
184,freetown,8.484,-13.2299,26.25,79,6,4.45,SL,1712609043
185,chukhloma,58.7525,42.6825,7.83,82,66,3.58,RU,1712609318
186,al hazm,16.1641,44.7769,29.09,43,82,3.09,YE,1712609318
187,katsuura,35.1333,140.3,18.85,95,100,12.05,JP,1712608821
188,accra,5.556,-0.1969,28.23,89,40,2.57,GH,1712609290
189,maffra,-37.9667,146.9833,9.73,88,100,2.99,AU,1712609319
190,colonia,50.9333,6.95,19.9,65,0,1.54,DE,1712609052
191,geraldton,-28.7667,114.6,23.23,33,50,9.77,AU,1712609320
192,keflavik,64.0049,-22.5624,2.95,75,0,7.72,IS,1712609320
193,hammerfest,70.6634,23.6821,-0.75,80,75,2.57,NO,1712608835
194,lauro de freitas,-12.8944,-38.3272,26.01,89,75,2.06,BR,1712609220
195,ola,59.5833,151.2833,-2.7,89,100,4.76,RU,1712609320
196,aginskoye,51.1,114.53,2.29,59,100,1.29,RU,1712609320
197,akureyri,65.6835,-18.0878,-0.04,86,100,6.17,IS,1712609321
198,afaahiti,-17.75,-149.2833,29.93,83,74,6.26,PF,1712609321
199,puerto deseado,-47.7503,-65.8938,7.85,51,100,11.79,AR,1712609300
200,port alfred,-33.5906,26.891,19.54,95,82,1.34,ZA,1712608846
201,turpan,42.9333,89.1667,16.84,21,5,1.22,CN,1712609321
202,nieuw amsterdam,5.8833,-55.0833,32.09,62,20,3.09,SR,1712609321
203,pemangkat,1.1667,108.9667,26.42,89,100,3.05,ID,1712609322
204,swift current,50.2834,-107.8014,6.45,81,100,6.69,CA,1712609322
205,mira,45.4358,12.1348,18.04,83,0,1.03,IT,1712609322
206,gilgit,35.9221,74.3087,4.09,43,0,1.54,PK,1712609053
207,santiago del estero,-27.7951,-64.2615,30.32,41,20,4.7,AR,1712609049
208,tolanaro,-25.0319,46.9987,22.04,88,75,2.06,MG,1712609323
209,jamestown,42.097,-79.2353,18.62,41,100,2.57,US,1712609178
210,paciran,-6.8767,112.3761,25.51,94,99,3.92,ID,1712609323
211,palangkaraya,-2.2,113.8333,24.25,98,100,0.67,ID,1712609224
212,portland,45.5234,-122.6762,13.05,69,100,3.09,US,1712608901
213,white marsh,39.3837,-76.4322,21.37,43,49,1.79,US,1712609324
214,jinzhou,41.1078,121.1417,1.25,24,3,2.72,CN,1712609324
215,alo,7.4178,6.7371,29.03,67,85,2.87,NG,1712609324
216,udachny,66.4167,112.4,-12.53,81,100,4.6,RU,1712608552
217,malyye derbety,47.9547,44.6808,14.28,52,10,3.42,RU,1712609324
218,prado,-17.3411,-39.2208,25.71,82,64,3.11,BR,1712609324
219,kitimat,54.0524,-128.6534,5.21,65,100,2.68,CA,1712609325
220,dubbo,-32.25,148.6167,10.07,93,100,0.0,AU,1712609221
221,chongwe,-15.3292,28.682,19.04,93,26,1.19,ZM,1712609325
222,gadzhiyevo,69.2551,33.3362,-3.58,94,100,6.0,RU,1712609325
223,fort bragg,35.139,-79.006,24.69,40,0,4.63,US,1712608839
224,tangalle,6.024,80.7911,25.08,85,48,3.74,LK,1712609325
225,ulsteinvik,62.3432,5.8487,10.5,77,18,4.1,NO,1712609326
226,cankaya,39.9179,32.8627,12.59,63,0,1.54,TR,1712609326
227,whistler,50.1164,-122.9695,1.51,94,100,3.28,CA,1712609160
228,kerikeri,-35.2268,173.9474,18.84,94,100,3.43,NZ,1712609213
229,saurimo,-9.6608,20.3916,19.66,96,100,1.7,AO,1712609326
230,nan,18.8333,100.6667,28.58,42,13,0.23,TH,1712609326
231,tokar,18.4254,37.729,26.19,56,97,2.7,SD,1712609327
232,dolores hidalgo cuna de la independencia nacional,21.1561,-100.9308,31.49,6,4,9.32,MX,1712609123
233,la'ie,21.6477,-157.9253,26.98,64,1,2.24,US,1712609327
234,vera,-29.4593,-60.2126,24.4,70,0,2.34,AR,1712609327
235,kariba,-16.5167,28.8,24.2,63,98,1.76,ZW,1712609327
236,sitka,57.0531,-135.33,4.94,81,75,2.06,US,1712608828
237,tongchuanshi,35.0806,109.0897,13.6,59,100,1.89,CN,1712609328
238,abay,49.6311,72.8539,5.21,87,99,5.8,KZ,1712609328
239,sola,-13.8833,167.55,27.8,74,49,6.58,VU,1712608585
240,kruisfontein,-34.0033,24.7314,17.16,96,95,4.18,ZA,1712608572
241,naryn,41.4287,75.9911,1.96,37,74,4.05,KG,1712609328
242,nyazepetrovsk,56.0531,59.6028,2.21,86,100,3.13,RU,1712609329
243,tofol,5.3248,163.0078,26.52,79,100,8.93,FM,1712609329
244,vernon,50.2581,-119.2691,10.97,53,100,1.03,CA,1712609219
245,rasht,37.2808,49.5832,12.9,70,100,0.54,IR,1712609329
246,ghadamis,30.1337,9.5007,25.96,5,68,4.54,LY,1712609329
247,boa vista,2.8197,-60.6733,34.99,36,40,5.14,BR,1712609329
248,christchurch,-43.5333,172.6333,20.26,88,67,0.51,NZ,1712609102
249,ancud,-41.8697,-73.8203,11.69,64,23,4.77,CL,1712609308
250,flying fish cove,-10.4217,105.6791,26.82,78,75,4.12,CX,1712609330
251,mulchen,-37.7167,-72.2333,22.92,55,72,3.3,CL,1712609298
252,baiquan,47.5833,126.0833,-2.8,39,0,2.66,CN,1712609330
253,kegeyli shahar,42.7767,59.6078,10.05,58,0,2.14,UZ,1712609330
254,natal,-5.795,-35.2094,29.12,79,40,3.09,BR,1712608811
255,huangmei,30.1924,116.025,12.12,91,37,2.95,CN,1712609331
256,timbiqui,2.7717,-77.6654,27.34,90,96,3.75,CO,1712609331
257,santa catarina,-27.0,-50.0,23.01,83,39,0.88,BR,1712609331
258,idritsa,56.3316,28.8988,12.96,68,100,1.72,RU,1712609331
259,xining,36.6167,101.7667,5.09,60,100,0.32,CN,1712609331
260,tomatlan,19.9333,-105.25,32.9,26,41,5.65,MX,1712609332
261,pacific grove,36.6177,-121.9166,19.34,62,0,4.47,US,1712609202
262,palmer,42.1584,-72.3287,18.46,24,75,2.06,US,1712609332
263,dalandzadgad,43.5708,104.425,5.73,57,0,4.75,MN,1712609258
264,luwuk,-0.9516,122.7875,23.18,93,100,0.41,ID,1712609332
